GEOID,NAME,COUNTYNAME,PlanningRegion,ARCModelingArea,# Total households 2020,Mean household income 2020,Median household income 2020,# Households with earnings 2020,% Households with earnings 2020,Aggregate household income 2020,# Household income $200000 or more 2020,% Household income $200000 or more 2020,Mean household earnings (dollars) 2020,# Households with retirement income 2020,% Households with retirement income 2020,# Household income less than $10000 2020,% Household income less than $10000 2020,# Household income less than $35000 2020,% Household income less than $35000 2020,# Household income $10000 to $14999 2020,% Household income $10000 to $14999 2020,# Household income $15000 to $24999 2020,% Household income $15000 to $24999 2020,# Household income $25000 to $34999 2020,% Household income $25000 to $34999 2020,# Household income $35000 to $49999 2020,% Household income $35000 to $49999 2020,# Household income $50000 to $74999 2020,% Household income $50000 to $74999 2020,# Household income $75000 to $99999 2020,% Household income $75000 to $99999 2020,# Household income $35000 to $74999 2020,% Household income $35000 to $74999 2020,# Household income $75000 to $199999 2020,% Household income $75000 to $199999 2020,# Household income $100000 to $149999 2020,% Household income $100000 to $149999 2020,% Household income $150000 to $199999 2020,# Households with Social Security income 2020,% Households with Social Security income 2020,# Households with Supplemental Security Income 2020,% Households with Supplemental Security Income 2020,# Households with cash public assistance income 2020,% Households with cash public assistance income 2020,# Households with children receiving Food Stamps/SNAP 2020,% Households with children receiving Food Stamps/SNAP 2020,# Households with Food Stamp/SNAP benefits in past 12 months 2020,% Households with Food Stamp/SNAP benefits in past 12 months 2020
13089020100,Census Tract 201,DeKalb,Atlanta Regional Commission,Yes,713,239734.22,168315,650,91.2,170900000,308,43.2,232532,140,19.6,30,4.2,69,9.7,10,1.4,11,1.5,18,2.5,22,3.1,58,8.1,44,6.2,80,11.2,256,35.9,114,16,13.7,138,19.4,15,2.1,0,0,6,2,6,0.8
13121006602,Census Tract 66.02,Fulton,Atlanta Regional Commission,Yes,373,29971.85,25568,267,71.6,11179500,1,0.3,33183.521,20,5.4,77,20.6,285,76.4,23,6.2,84,22.5,101,27.1,37,9.9,29,7.8,17,4.6,66,17.7,21,5.6,0,0,1.1,80,21.4,16,4.3,13,3.5,37,58.7,84,22.5
13089021416,Census Tract 214.16,DeKalb,Atlanta Regional Commission,Yes,901,138225.75,114539,884,98.1,124500000,199,22.1,135102.94,0,0,17,1.9,101,11.2,0,0,37,4.1,47,5.2,70,7.8,122,13.5,36,4,192,21.3,409,45.4,244,27.1,14.3,17,1.9,0,0,12,1.3,24,15.8,24,2.7
13135050536,Census Tract 505.36,Gwinnett,Atlanta Regional Commission,Yes,1705,63124.751,57440,1603,94,107600000,0,0,63303.993,264,15.5,59,3.5,389,22.8,63,3.7,83,4.9,184,10.8,294,17.2,410,24,318,18.7,704,41.3,612,35.9,238,14,3.3,209,12.3,76,4.5,29,1.7,198,20,207,12.1
13121011000,Census Tract 110,Fulton,Atlanta Regional Commission,Yes,1006,45032.505,35373,720,71.6,45302700,10,1,55298.194,49,4.9,188,18.7,480,47.7,126,12.5,115,11.4,51,5.1,170,16.9,224,22.3,75,7.5,394,39.2,122,12.1,47,4.7,0,334,33.2,139,13.8,152,15.1,142,55,384,38.2
13121000700,Census Tract 7,Fulton,Atlanta Regional Commission,Yes,367,108062.94,61250,318,86.6,39659100,47,12.8,116533.65,46,12.5,13,3.5,113,30.8,5,1.4,26,7.1,69,18.8,28,7.6,44,12,34,9.3,72,19.6,135,36.8,63,17.2,10.4,75,20.4,20,5.4,0,0,8,14,8,2.2
13129970500,Census Tract 9705,Gordon,Northwest Georgia,No,1597,68886.6,45469,1242,77.8,110000000,53,3.3,69408.535,263,16.5,126,7.9,580,36.3,150,9.4,156,9.8,148,9.3,251,15.7,285,17.8,166,10.4,536,33.6,428,26.8,225,14.1,2.3,532,33.3,92,5.8,0,0,90,21,155,9.7
13265010200,Census Tract 102,Taliaferro,Central Savannah River Area,No,662,45557.1,37717,402,60.7,30158800,4,0.6,48358.955,127,19.2,64,9.7,297,44.9,73,11,98,14.8,62,9.4,176,26.6,109,16.5,36,5.4,285,43.1,76,11.5,38,5.7,0.3,338,51.1,66,10,12,1.8,117,68.4,214,32.3
13067031507,Census Tract 315.07,Cobb,Atlanta Regional Commission,Yes,1073,103739.61,65536,913,85.1,111300000,69,6.4,86336.583,251,23.4,34,3.2,161,15,8,0.7,110,10.3,9,0.8,224,20.9,211,19.7,172,16,435,40.5,408,38,218,20.3,1.7,296,27.6,30,2.8,0,0,75,16.2,117,10.9
13013180108,Census Tract 1801.08,Barrow,Northeast Georgia,Yes,1142,72432.925,62250,961,84.2,82718400,11,1,75079.605,201,17.6,61,5.3,197,17.3,18,1.6,62,5.4,56,4.9,183,16,217,19,223,19.5,400,35,534,46.8,266,23.3,3.9,342,29.9,47,4.1,11,1,0,0,52,4.6
13089023101,Census Tract 231.01,DeKalb,Atlanta Regional Commission,Yes,1732,70615.185,58889,1411,81.5,122300000,29,1.7,73077.746,417,24.1,57,3.3,556,32.1,89,5.1,306,17.7,104,6,208,12,286,16.5,298,17.2,494,28.5,653,37.7,212,12.2,8.3,481,27.8,202,11.7,77,4.4,138,34.8,295,17
13121006400,Census Tract 64,Fulton,Atlanta Regional Commission,Yes,410,67213.415,41000,324,79,27557500,37,9,78267.593,20,4.9,49,12,177,43.2,24,5.9,54,13.2,50,12.2,76,18.5,23,5.6,70,17.1,99,24.1,97,23.7,27,6.6,0,103,25.1,24,5.9,8,2,10,21.3,63,15.4
13245010105,Census Tract 101.05,Richmond,Central Savannah River Area,No,1826,54531.544,45994,1154,63.2,99574600,35,1.9,56225.477,565,30.9,189,10.4,742,40.6,43,2.4,340,18.6,170,9.3,218,11.9,432,23.7,246,13.5,650,35.6,399,21.9,121,6.6,1.8,625,34.2,148,8.1,32,1.8,29,11,39,2.1
13121001001,Census Tract 10.01,Fulton,Atlanta Regional Commission,Yes,1350,127519.78,84655,1291,95.6,172200000,165,12.2,128286.99,84,6.2,83,6.1,228,16.9,43,3.2,50,3.7,52,3.9,62,4.6,257,19,181,13.4,319,23.6,638,47.3,249,18.4,15.4,43,3.2,0,0,0,0,0,0,0,0
13089020400,Census Tract 204,DeKalb,Atlanta Regional Commission,Yes,1219,158497.46,123711,1149,94.3,193200000,382,31.3,153375.81,128,10.5,0,0,59,4.8,17,1.4,14,1.1,28,2.3,105,8.6,189,15.5,125,10.3,294,24.1,484,39.7,202,16.6,12.9,198,16.2,0,0,0,0,32,10,32,2.6
13059000401,Census Tract 4.01,Clarke,Northeast Georgia,No,723,34926.971,23664,667,92.3,25252200,0,0,36409.895,13,1.8,168,23.2,448,62,75,10.4,134,18.5,71,9.8,94,13,83,11.5,75,10.4,177,24.5,98,13.6,13,1.8,1.4,21,2.9,7,1,0,0,0,0,14,1.9
13089021703,Census Tract 217.03,DeKalb,Atlanta Regional Commission,Yes,1716,186757.87,155156,1310,76.3,320500000,636,37.1,186332.21,467,27.2,51,3,160,9.3,20,1.2,48,2.8,41,2.4,23,1.3,208,12.1,164,9.6,231,13.5,689,40.2,223,13,17.6,668,38.9,42,2.4,0,0,0,0,23,1.3
13089021305,Census Tract 213.05,DeKalb,Atlanta Regional Commission,Yes,1537,86277.944,57793,1446,94.1,132600000,100,6.5,84116.874,70,4.6,86,5.6,439,28.6,9,0.6,161,10.5,183,11.9,190,12.4,248,16.1,235,15.3,438,28.5,560,36.4,208,13.5,7.6,157,10.2,16,1,40,2.6,83,13.5,83,5.4
13121003700,Census Tract 37,Fulton,Atlanta Regional Commission,Yes,146,29979.452,36288,54,37,4377000,0,0,,0,0,36,24.7,56,38.4,0,0,20,13.7,0,0,90,61.6,0,0,0,0,90,61.6,0,0,0,0,0,127,87,56,38.4,0,0,0,,56,38.4
13097080508,Census Tract 805.08,Douglas,Atlanta Regional Commission,Yes,1866,75804.18,66400,1619,86.8,141500000,54,2.9,72958.987,317,17,66,3.5,394,21.1,15,0.8,242,13,71,3.8,249,13.3,495,26.5,345,18.5,744,39.9,674,36.1,227,12.2,5.5,484,25.9,82,4.4,66,3.5,60,9.9,113,6.1
13121006900,Census Tract 69,Fulton,Atlanta Regional Commission,Yes,1394,89645.911,76731,1171,84,125000000,100,7.2,95435.013,171,12.3,131,9.4,355,25.5,86,6.2,26,1.9,112,8,179,12.8,145,10.4,220,15.8,324,23.2,615,44.1,212,15.2,13.1,279,20,161,11.5,43,3.1,24,7.1,202,14.5
13121010120,Census Tract 101.20,Fulton,Atlanta Regional Commission,Yes,1360,94394.044,80065,1296,95.3,128400000,46,3.4,88319.522,33,2.4,53,3.9,180,13.2,34,2.5,38,2.8,55,4,95,7,353,26,223,16.4,448,32.9,686,50.4,398,29.3,4.8,289,21.3,0,0,0,0,43,10.7,53,3.9
